Toronto Transit Commission - Conventional,200A,306969099
Toronto Transit Commission - Conventional,300A,33449400
Toronto Transit Commission - Conventional,400A,88898800
Toronto Transit Commission - Conventional,650A,34645100
Toronto Transit Commission - Conventional,700A,3680800
Toronto Transit Commission - Wheel Trans,100A,57658500
Toronto Transit Commission - Wheel Trans,200A,13861000
Toronto Transit Commission - Wheel Trans,400A,51236700
Toronto Transit Commission - Wheel Trans,650A,909700
Toronto Water,100A,169746315
Toronto Water,200A,107740492
Toronto Water,300A,3157160
Toronto Water,400A,56770392
Toronto Water,510A,9645738
Toronto Water,650A,20072618
Toronto Water,700A,72356129
Toronto Zoo,100A,29266577
Toronto Zoo,200A,7818696
Toronto Zoo,300A,335899
Toronto Zoo,400A,12779653
Toronto Zoo,510A,972242
Transportation Services,100A,97636588
Transportation Services,200A,45046169
Transportation Services,300A,766675
Transportation Services,400A,207727708
Transportation Services,510A,20441701
Transportation Services,650A,794159
Transportation Services,700A,15428196
Yonge-Dundas Square,100A,582305
Yonge-Dundas Square,200A,192925
Yonge-Dundas Square,300A,40000
Yonge-Dundas Square,400A,1516512
Yonge-Dundas Square,510A,2773
