_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuX3ZrN3F5SDJJREk,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Expenses,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Expense:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Materials & Supplies,5066
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Other Expenditures,22000
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Inter-Divisional Charges,68348
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Service And Rent,349239
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Administration,Salaries And Benefits,4682321
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Materials & Supplies,1055
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Contribution To Reserves/Reserve Funds,1743
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Inter-Divisional Charges,6453
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Other Expenditures,6600
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Service And Rent,15490
Office of the Treasurer,PPEB-Payroll,PPEB-Payroll Management Reporting,Salaries And Benefits,1735417
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Equipment,5327
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Materials & Supplies,5915
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Inter-Divisional Charges,318481
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Other Expenditures,992600
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Service And Rent,1183740
Office of the Treasurer,RS-Parking Ticket,RS-Parking Ticket Processing,Salaries And Benefits,1185362
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Equipment,2131
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Materials & Supplies,4707
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Service And Rent,13414
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Inter-Divisional Charges,54933
Office of the Treasurer,RS-Property Tax Billing,RS-Appeals Processing,Salaries And Benefits,1359531
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Equipment,533
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Materials & Supplies,1031
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Service And Rent,2498
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Inter-Divisional Charges,10732
Office of the Treasurer,RS-Property Tax Billing,RS-Apportionments of Property Tax,Salaries And Benefits,202714
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Equipment,1598
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Materials & Supplies,2811
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Service And Rent,16177
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Inter-Divisional Charges,418478
Office of the Treasurer,RS-Property Tax Billing,RS-Property Assessment Reviews,Salaries And Benefits,1046940
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Equipment,3729
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Materials & Supplies,5285
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Inter-Divisional Charges,96004
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Salaries And Benefits,1123211
Office of the Treasurer,RS-Property Tax Billing,RS-Property Tax & Payment in Lieu of Tax Billing,Service And Rent,1457262
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Equipment,2131
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Materials & Supplies,5011
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Inter-Divisional Charges,55977
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Service And Rent,313773
Office of the Treasurer,RS-Property Tax Billing,RS-Rebate & Deferral Programs,Salaries And Benefits,1422144
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Equipment,4262
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Materials & Supplies,7499
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Other Expenditures,50000
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Inter-Divisional Charges,152502
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Service And Rent,793181
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Arrears Collections,Salaries And Benefits,1981327
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Equipment,4138
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Materials & Supplies,21749
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Inter-Divisional Charges,160724
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Service And Rent,487595
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Municipal Land Transfer Tax,Salaries And Benefits,657840
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Equipment,3729
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Materials & Supplies,10960
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Service And Rent,48027
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Inter-Divisional Charges,57210
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Salaries And Benefits,605924
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Payment Processing & Collection,Other Expenditures,810868
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Equipment,1066
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Materials & Supplies,2420
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Service And Rent,6293
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Inter-Divisional Charges,16805
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Refund Processing,Salaries And Benefits,892494
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Equipment,2131
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Materials & Supplies,5522
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Service And Rent,11883
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Inter-Divisional Charges,33095
Office of the Treasurer,RS-Revenue Accounting & Collection,RS-Revenue Accounting,Salaries And Benefits,1734201
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Equipment,6393
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Materials & Supplies,13252
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Service And Rent,55304
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Inter-Divisional Charges,100204
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Contact Centre,Salaries And Benefits,3715388
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Equipment,4794
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Materials & Supplies,11710
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Service And Rent,24842
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Inter-Divisional Charges,130017
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Revenue Services Counter Operations,Salaries And Benefits,3405837
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Equipment,2131
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Materials & Supplies,5570
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Service And Rent,20916
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Inter-Divisional Charges,33537
Office of the Treasurer,"RS-Tax, Utility & Parking Ticket Client Services",RS-Tax / Utility Account Administration,Salaries And Benefits,1992994
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Equipment,5455
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Materials & Supplies,7156
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Inter-Divisional Charges,153291
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Service And Rent,288154
Office of the Treasurer,RS-Utility Billing,RS-Meter Reading Operations,Salaries And Benefits,968437
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Materials & Supplies,992
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Equipment,1065
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Service And Rent,5412
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Inter-Divisional Charges,131515
Office of the Treasurer,RS-Utility Billing,RS-Solid Waste Billings,Salaries And Benefits,382237
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Materials & Supplies,8355
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Equipment,14388
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Inter-Divisional Charges,57520
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Salaries And Benefits,1203480
Office of the Treasurer,RS-Utility Billing,RS-Water Billings,Service And Rent,1255140
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Equipment,149516
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Contribution To Reserves/Reserve Funds,253130
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Inter-Divisional Charges,401937
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Materials & Supplies,1774004
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Service And Rent,2176973
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Other Expenditures,9087390
"Parks, Forestry & Recreation",PR-Community Recreation,Community Development,Salaries And Benefits,13499225
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Other Expenditures,176592
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Equipment,322517
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Contribution To Reserves/Reserve Funds,741925
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Inter-Divisional Charges,1399847
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Materials & Supplies,6047883
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Service And Rent,10694138
"Parks, Forestry & Recreation",PR-Community Recreation,Instructional Recreation Programs,Salaries And Benefits,58937328
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Other Expenditures,117728
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Equipment,202394
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Contribution To Reserves/Reserve Funds,509049
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Inter-Divisional Charges,1147564
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Service And Rent,4471862
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Materials & Supplies,6130778
"Parks, Forestry & Recreation",PR-Community Recreation,Leisure Recreation Programs,Salaries And Benefits,35452908
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Equipment,271033
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Other Expenditures,460519
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Contribution To Reserves/Reserve Funds,1046640
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Inter-Divisional Charges,6549960
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Service And Rent,7589075
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Materials & Supplies,9054126
"Parks, Forestry & Recreation",PR-Community Recreation,Permitted Activities & Recreation Facilities,Salaries And Benefits,33409540
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Contribution To Reserves/Reserve Funds,43835
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Equipment,53422
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Materials & Supplies,70765
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Inter-Divisional Charges,271392
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Service And Rent,364966
"Parks, Forestry & Recreation",PR-Community Recreation,Recreation & Facilities Planning & Development,Salaries And Benefits,16502440
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Equipment,20972
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Service And Rent,29698
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Materials & Supplies,102557
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Inter-Divisional Charges,111890
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Contribution To Reserves/Reserve Funds,357034
"Parks, Forestry & Recreation",PR-Parks,Beach Access,Salaries And Benefits,2317319
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Equipment,43488
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Other Expenditures,60298
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Inter-Divisional Charges,325521
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Materials & Supplies,375474
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Contribution To Reserves/Reserve Funds,547932
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Service And Rent,955318
"Parks, Forestry & Recreation",PR-Parks,Parks Planning & Development,Salaries And Benefits,12343510
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Equipment,879
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Inter-Divisional Charges,86247
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Service And Rent,110299
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Other Expenditures,240000
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Contribution To Reserves/Reserve Funds,365885
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Materials & Supplies,959084
"Parks, Forestry & Recreation",PR-Parks,"Plant Production, Greenhouses, Comm Gardens & Conservatories",Salaries And Benefits,3595844
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Other Expenditures,77300
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Equipment,1271650
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Contribution To Reserves/Reserve Funds,5756277
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Service And Rent,7643544
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Inter-Divisional Charges,10457978
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Materials & Supplies,12506484
"Parks, Forestry & Recreation",PR-Parks,PR-Parks Access,Salaries And Benefits,83460333
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Equipment,7180
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Service And Rent,21632
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Materials & Supplies,26280
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Inter-Divisional Charges,86277
"Parks, Forestry & Recreation",PR-Parks,Ravines & Watercourses,Salaries And Benefits,922223
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Equipment,3930
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Other Expenditures,49700
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Service And Rent,345501
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Materials & Supplies,376165
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Inter-Divisional Charges,503778
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Contribution To Reserves/Reserve Funds,1158255
"Parks, Forestry & Recreation",PR-Parks,Toronto Island Ferry Operations,Salaries And Benefits,5552363
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Contribution To Reserves/Reserve Funds,308
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Equipment,2253
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Service And Rent,36483
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Inter-Divisional Charges,91224
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Materials & Supplies,209678
"Parks, Forestry & Recreation",PR-Parks,Zoo & Farm Attractions,Salaries And Benefits,1127393
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Other Expenditures,200
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Equipment,285485
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Materials & Supplies,1282339
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Contribution To Reserves/Reserve Funds,1546859
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Inter-Divisional Charges,2250564
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Salaries And Benefits,19525119
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Care & Maintenance,Service And Rent,20987163
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Equipment,11962
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Inter-Divisional Charges,200612
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Materials & Supplies,939544
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Other Expenditures,1310100
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Contribution To Reserves/Reserve Funds,1943623
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Salaries And Benefits,4365128
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Planting,Service And Rent,8709113
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Other Expenditures,3400
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Equipment,12833
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Service And Rent,42852
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Materials & Supplies,47377
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Contribution To Reserves/Reserve Funds,61963
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Inter-Divisional Charges,97153
"Parks, Forestry & Recreation",PR-Urban Forestry,Tree Protection,Salaries And Benefits,5423720
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Materials & Supplies,14737
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Equipment,14766
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Other Expenditures,23699
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Service And Rent,64458
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Inter-Divisional Charges,136421
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Contribution To Reserves/Reserve Funds,138809
"Parks, Forestry & Recreation",PR-Urban Forestry,Urban Forestry Planning & Development,Salaries And Benefits,3862561
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Equipment,2000
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Materials & Supplies,2213
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Service And Rent,27100
"Policy, Planning, Finance & Administration",Corporate Leadership,Corporate Leadership,Salaries And Benefits,787461
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Equipment,750
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Materials & Supplies,1039
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Inter-Divisional Charges,1211
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Salaries And Benefits,1746690
"Policy, Planning, Finance & Administration",Organizational Effectiveness,Organizational Effectiveness,Service And Rent,2302658
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Contribution To Reserves/Reserve Funds,22455
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Materials & Supplies,80734
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Equipment,100000
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Service And Rent,123510
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Inter-Divisional Charges,266914
"Policy, Planning, Finance & Administration",PA-Emergency Management,Emergency Management Program Development & Response,Salaries And Benefits,2423208
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Materials & Supplies,439
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Equipment,2900
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Service And Rent,20308
"Policy, Planning, Finance & Administration",PA-Financial Management,Budget Planning & coordination,Salaries And Benefits,2043554
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Materials & Supplies,2357
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Equipment,19000
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Service And Rent,55127
"Policy, Planning, Finance & Administration",PA-Financial Management,Financial Transaction & Payment Processing,Salaries And Benefits,5958439
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Materials & Supplies,351
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Equipment,1225
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Service And Rent,2443
"Policy, Planning, Finance & Administration",PA-Program Support,Complement Management & Reporting,Salaries And Benefits,482705
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Equipment,15118
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Service And Rent,67018
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Contribution To Reserves/Reserve Funds,103266
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Inter-Divisional Charges,304375
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Materials & Supplies,650178
"Policy, Planning, Finance & Administration",PA-Program Support,General Administration,Salaries And Benefits,1351393
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Equipment,625
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Materials & Supplies,816
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Service And Rent,7545
"Policy, Planning, Finance & Administration",PA-Program Support,Public Consultation,Salaries And Benefits,1186135
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Inter-Divisional Charges,10245
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Equipment,12275
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Materials & Supplies,84119
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Service And Rent,123268
"Policy, Planning, Finance & Administration",PA-Program Support,Time & Attendance Data Entry & Reporting,Salaries And Benefits,2907526
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Contribution To Reserves/Reserve Funds,10149
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Equipment,27358
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Materials & Supplies,65166
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Inter-Divisional Charges,520654
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Service And Rent,1536713
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Salaries And Benefits,12089969
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Housing Stability Policy & Strategic Investments,Other Expenditures,40409308
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Equipment,84756
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Inter-Divisional Charges,764951
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Contribution To Reserves/Reserve Funds,2157915
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Materials & Supplies,4027262
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Other Expenditures,4637112
"Shelter, Support & Housing Administration",HS-Homeless and Housing First Solutions,Provide Emergency Shelter & Related Support,Salaries And Benefits,50223423
